14:36:32.957, LED:[1], Chans:(31, 28, 176, 1170, 157, 84)
14:36:32.990, LED:[1], Chans:(31, 28, 176, 1169, 158, 86)
14:36:33.024, LED:[1], Chans:(31, 27, 176, 1172, 157, 84)
14:36:33.057, LED:[1], Chans:(31, 28, 176, 1170, 157, 86)
14:36:33.091, LED:[1], Chans:(31, 28, 176, 1171, 157, 84)
14:36:33.125, LED:[1], Chans:(31, 27, 176, 1169, 157, 84)
14:36:33.158, LED:[1], Chans:(31, 28, 176, 1169, 157, 84)
14:36:33.192, LED:[1], Chans:(31, 28, 176, 1169, 157, 86)
14:36:33.225, LED:[1], Chans:(31, 27, 176, 1171, 158, 86)
14:36:33.259, LED:[1], Chans:(31, 28, 175, 1171, 157, 85)
14:36:33.293, LED:[1], Chans:(31, 28, 175, 1168, 157, 83)
14:36:33.326, LED:[1], Chans:(31, 28, 176, 1167, 158, 85)
14:36:33.360, LED:[1], Chans:(31, 29, 176, 1167, 157, 84)
14:36:33.393, LED:[1], Chans:(31, 27, 175, 1168, 157, 84)
14:36:33.426, LED:[1], Chans:(31, 27, 176, 1169, 157, 84)
14:36:33.461, LED:[1], Chans:(31, 29, 176, 1169, 157, 85)
14:36:33.494, LED:[1], Chans:(31, 28, 176, 1167, 157, 86)
14:36:33.528, LED:[1], Chans:(31, 28, 175, 1168, 156, 82)
14:36:33.561, LED:[1], Chans:(31, 28, 175, 1167, 157, 83)
14:36:33.594, LED:[1], Chans:(31, 27, 176, 1169, 157, 85)
14:36:33.629, LED:[1], Chans:(30, 27, 176, 1169, 157, 87)
14:36:33.662, LED:[1], Chans:(31, 27, 175, 1169, 157, 82)
